Country,State,County,City/Town,Facility or Program Name, Address 1,Address 2 (suite),Zip,Phone 1,Phone 2,Web Address,Additional Information
United States,Colorado,Alamosa,Alamosa,Valley Wide Health Systems,,,,719-588-8609,,https://vwhs.org/,
United States,Colorado,Morgan,Fort Morgan,S.A.R.A. House,418 Ensign St.,,80701,970-867-2121,,http://sarainc.org/,
United States,Colorado,Boulder,Boulder,Boulder Community Health – Foothills,4747 Arapahoe Ave ,,80303,303-415-7600,,https://www.bch.org/Locations/Foothills-Hospital.aspx,
United States,Colorado,Summit,Frisco,St. Anthony Summit Medical Center ,"340 Peak One Dr,",,80443,970-668-3300,970-668-6901,https://www.centura.org/locations/st-anthony-summit-medical-center,
United States,Colorado,Fremont,Canon City,St. Thomas More Hospital,1338 Phay Ave,,81212,719-285-2270,,https://www.centura.org/locations/st-thomas-more-hospital,
United States,Colorado,Gunnison,Gunnison,Gunnison Valley Hospital,711 N. Taylor St. ,,81230,970-641-1456,,https://www.gunnisonvalleyhealth.org/,
United States,Colorado,Chaffee,Salida,The Alliance Chaffee,,,,719-539-7347,,https://alliancechaffee.org/,(24/7 Ask for SANE)
United States,Colorado,Chaffee,Buena Vista,The Alliance Chaffee,,,,719-539-7347,,https://alliancechaffee.org/,(24/7 Ask for SANE)
United States,Colorado,Chaffee,Poncha Springs,The Alliance Chaffee,,,,719-539-7347,,https://alliancechaffee.org/,(24/7 Ask for SANE)
United States,Colorado,Mesa,Grand Junction,Mesa County SANE Program,,,,970-242-6707,,,"To page SANE program, call Dispatch"
United States,Colorado,El Paso,Colorado Springs,Memorial Hospital Central,1400 E Boulder St,,80909,719-365-8333,,https://www.uchealth.org/locations/uchealth-memorial-hospital-central/,
United States,Colorado,El Paso,Colorado Springs,Memorial Hospital North,4050 Briargate Pkwy,,80920,719-364-5000,,https://www.uchealth.org/locations/uchealth-memorial-hospital-north/,
United States,Colorado,Weld,Greeley,North Colorado Medical Center,1801 16th St,,80631,970-350-6244,,https://www.bannerhealth.com/locations/greeley/north-colorado-medical-center,
United States,Colorado,Weld,Greeley,Banner Health West Emergency Room,,,,970-810-2690,,https://www.bannerhealth.com/services/emergency?locationname=west-colorado-medical-center,
United States,Colorado,Montezuma,Cortez,Southwest Memorial Hospital ER,1311 N Mildred Rd,,81321,970-564-2025,,https://www.swhealth.org/,
United States,Colorado,Lincoln,Hugo,Lincoln Community Hospital,111 6th St,,80821,719-743-2121,,http://www.hugohospital.com/,
United States,Colorado,Moffat,Craig,Memorial Regional Health,750 Hospital Loop,,81625,970-824-2400,,https://memorialregionalhealth.com/,on-call SANE accessed via local advocacy center number 24/7
United States,Colorado,Boulder,Longmont,UC Health Longs Peak Hospital,1750 E Ken Pratt Blvd,,80504,970-237-8100,,https://www.uchealth.org/locations/uchealth-longs-peak-hospital/,
United States,Colorado,Delta,Delta,Delta County Memorial Hospital,1501 E 3rd St,,81416,970-874-2221,,http://www.deltahospital.org/,
United States,Colorado,Larimer,Loveland,Medical Center of the Rockies,2500 Rocky Mountain Ave,,80538,970-624-1600,,https://www.uchealth.org/locations/uchealth-medical-center-of-the-rockies/,
United States,Colorado,Larimer,Loveland,McKee Medical Center,2000 N Boise Ave,,80538,970-820-4640,,https://www.bannerhealth.com/locations/loveland/mckee-medical-center,
United States,Colorado,Denver,Denver,Denver Health Medical Center,777 Bannock St,,80204,303-602-8100,303-602-3007,https://www.denverhealth.org/,
United States,Colorado,Arapahoe,Littleton,Littleton Adventist,7700 S Broadway,,80122,303-778-2407,,https://www.centura.org/locations/littleton-adventist-hospital,
United States,Colorado,Douglas,Aurora,Medical Center of Aurora,1501 S Potomac St,,80012,303-671-4945,303-695-2600,https://auroramed.com/,
United States,Colorado,Denver,Denver,Porter Adventist Hospital,2525 S Downing St,,80210,303-778-2407,,https://www.centura.org/locations/porter-adventist-hospital,
United States,Colorado,Jefferson,Lakewood,St. Anthony Hospital,11600 W 2nd Pl,,80228,720-321-4103,,https://www.centura.org/locations/st-anthony-hospital,
United States,Colorado,Adams,Westminster,St. Anthony Hospital - 84th Avenue Location,2551 W 84th Ave,,80031,303-426-2121,,https://www.centura.org/locations/84th-avenue-neighborhood-health-center,
United States,Colorado,Broomfield,Westminster,St. Anthony Hospital - North Health Location,4300 Orchard Pkwy,,80023,303-426-2121,,https://www.centura.org/locations/st-anthony-north-health-campus,
United States,Colorado,Douglas,Aurora,UCHealth Aurora,12605 E 16th Ave,,80045,720-848-8451,,https://www.uchealth.org/locations/uchealth-university-of-colorado-hospital-uch/,
United States,Colorado,Montrose,Montrose,Montrose Memorial Hospital,800 S 3rd St,,81401,970-249-2211,,http://www.montrosehospital.com/,
United States,Colorado,La Plata,Durango,Mercy Regional Medical Center,1010 Three Springs Blvd,,81301,970-764-2100,,https://www.centura.org/locations/mercy-regional-medical-center,
United States,Colorado,Larimer,Fort Collins,Harmony Emergency Room,4630 Snow Mesa Dr,,80528,970-237-8100,,https://www.uchealth.org/locations/uchealth-emergency-room-harmony/,
United States,Colorado,Larimer,Fort Collins,Poudre Valley Hospital,1024 S Lemay Ave,,80524,970-495-7000,,https://www.uchealth.org/locations/uchealth-poudre-valley-hospital/,
United States,Colorado,Larimer,Fort Collins,Banner Ft. Collins Medical Center,4700 Lady Moon Dr,,80528,970-821-4000,,https://www.uchealth.org/locations/uchealth-poudre-valley-hospital/,
United States,Colorado,Garfield,Garfield,Mountain West SANE Alliance,,,,970-625-8095 ,,http://www.riverbridgerc.org/river-bridge-voices/mountainwestsanealliancehasapermanenthomewithriverbridgeregionalcenter,Call Garfield County Dispatch and request call back from SANE on call
United States,Colorado,Pitkin,Pitkin,Mountain West SANE Alliance,,,,970-625-8096,,http://www.riverbridgerc.org/river-bridge-voices/mountainwestsanealliancehasapermanenthomewithriverbridgeregionalcenter,Call Garfield County Dispatch and request call back from SANE on call
United States,Colorado,Rio Blanco,Rio Blanco,Mountain West SANE Alliance,,,,970-625-8097,,http://www.riverbridgerc.org/river-bridge-voices/mountainwestsanealliancehasapermanenthomewithriverbridgeregionalcenter,Call Garfield County Dispatch and request call back from SANE on call
United States,Colorado,Pueblo,Pueblo,Parkview Medical Center,400 W 16th St,,81003,719-584-4000,,https://www.parkviewmc.com/,
United States,Colorado,Routt,Steamboat Springs,UCHealth Yampa Valley Medical Center,1024 Central Park Dr,,80487,970-879-1322,,https://www.uchealth.org/locations/uchealth-yampa-valley-medical-center/,
United States,Colorado,Las Animas,Trinidad,Mt. San Rafael Hospital,410 Benedicta Ave,,81082,719-846-4262,,http://www.msrhc.org/,
